ts,symbol,side,weight,price
2025-10-24T22:43:34Z,SPY,SELL,-0.6,671.76
2025-10-24T22:43:34Z,QQQ,SELL,-0.6,610.58
2025-10-24T22:44:31Z,SPY,BUY,0.6,671.76
2025-10-24T22:44:31Z,QQQ,BUY,0.6,610.58
2025-10-24T22:48:56Z,SPY,SELL,-0.6,671.76
2025-10-24T22:48:56Z,QQQ,BUY,0.25026808836971015,610.58
2025-10-24T22:53:51Z,SPY,BUY,0.20889908685975067,671.76
2025-10-24T22:53:51Z,QQQ,SELL,-0.6,610.58
2025-10-24T23:15:11Z,SPY,BUY,0.6,677.26
2025-10-24T23:15:11Z,QQQ,BUY,0.6,617.1
2025-10-24T23:17:14Z,SPY,BUY,0.6,677.26
2025-10-24T23:17:14Z,QQQ,BUY,0.6,617.1
2025-10-24T23:18:17Z,SPY,BUY,0.6,677.26
2025-10-24T23:18:17Z,QQQ,BUY,0.6,617.1
